timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1709043176285,154,GET Single User,200,OK,Workload Config 1-96,text,true,,1186,148,1,1,https://reqres.in/api/users/2,154,0,103
1709043176441,406,Post Request,201,Created,Workload Config 1-96,text,true,,897,278,2,2,https://reqres.in/api/users,406,0,0
1709043176783,173,GET Single User,200,OK,Workload Config 1-97,text,true,,1186,148,1,1,https://reqres.in/api/users/2,173,0,102
1709043176957,413,Post Request,201,Created,Workload Config 1-97,text,true,,897,278,2,2,https://reqres.in/api/users,413,0,0
1709043177284,181,GET Single User,200,OK,Workload Config 1-98,text,true,,1186,148,1,1,https://reqres.in/api/users/2,181,0,127
1709043177466,411,Post Request,201,Created,Workload Config 1-98,text,true,,904,278,2,2,https://reqres.in/api/users,411,0,0
1709043177783,158,GET Single User,200,OK,Workload Config 1-99,text,true,,1180,148,1,1,https://reqres.in/api/users/2,158,0,101
1709043177942,431,Post Request,201,Created,Workload Config 1-99,text,true,,905,278,2,2,https://reqres.in/api/users,431,0,0
1709043178293,264,GET Single User,200,OK,Workload Config 1-100,text,true,,1178,148,1,1,https://reqres.in/api/users/2,264,0,164
1709043178559,399,Post Request,201,Created,Workload Config 1-100,text,true,,901,278,2,2,https://reqres.in/api/users,399,0,0
1709043178783,188,GET Single User,200,OK,Workload Config 1-101,text,true,,1180,148,1,1,https://reqres.in/api/users/2,188,0,128
1709043178972,399,Post Request,201,Created,Workload Config 1-101,text,true,,900,278,2,2,https://reqres.in/api/users,399,0,0
1709043179283,159,GET Single User,200,OK,Workload Config 1-102,text,true,,1186,148,1,1,https://reqres.in/api/users/2,159,0,104
1709043179443,425,Post Request,201,Created,Workload Config 1-102,text,true,,901,278,2,2,https://reqres.in/api/users,425,0,0
1709043179782,163,GET Single User,200,OK,Workload Config 1-103,text,true,,1182,148,1,1,https://reqres.in/api/users/2,163,0,104
1709043179946,427,Post Request,201,Created,Workload Config 1-103,text,true,,899,278,2,2,https://reqres.in/api/users,427,0,0
1709043180285,162,GET Single User,200,OK,Workload Config 1-104,text,true,,1186,148,1,1,https://reqres.in/api/users/2,162,0,107
1709043180448,412,Post Request,201,Created,Workload Config 1-104,text,true,,897,278,2,2,https://reqres.in/api/users,412,0,0
1709043180782,156,GET Single User,200,OK,Workload Config 1-105,text,true,,1178,148,1,1,https://reqres.in/api/users/2,156,0,99
1709043180939,409,Post Request,201,Created,Workload Config 1-105,text,true,,897,278,2,2,https://reqres.in/api/users,409,0,0
1709043181280,164,GET Single User,200,OK,Workload Config 1-106,text,true,,1186,148,1,1,https://reqres.in/api/users/2,164,0,109
1709043181445,413,Post Request,201,Created,Workload Config 1-106,text,true,,897,278,2,2,https://reqres.in/api/users,413,0,0
1709043181779,174,GET Single User,200,OK,Workload Config 1-107,text,true,,1186,148,1,1,https://reqres.in/api/users/2,174,0,101
1709043181954,407,Post Request,201,Created,Workload Config 1-107,text,true,,897,278,2,2,https://reqres.in/api/users,407,0,0
1709043182280,153,GET Single User,200,OK,Workload Config 1-108,text,true,,1186,148,1,1,https://reqres.in/api/users/2,153,0,102
1709043182434,418,Post Request,201,Created,Workload Config 1-108,text,true,,901,278,2,2,https://reqres.in/api/users,418,0,0
1709043182751,182,GET Single User,200,OK,Workload Config 1-109,text,true,,1178,148,1,1,https://reqres.in/api/users/2,182,0,100
